category,headline,short_description,date,headline_finbert_sentiment,headline_finbert_score,desc_finbert_sentiment,desc_finbert_score,headline_finbert_numerical,desc_finbert_numerical,avg_finbert_sentiment
U.S. NEWS,over 4 million americans roll up sleeves for omicron-targeted covid boosters,Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.,2022-09-23,neutral,0.8388087749481201,positive,0.848373532295227,0,1,0.5
U.S. NEWS,"american airlines flyer charged, banned for life after punching flight attendant on video","He was subdued by passengers and crew when he fled to the back of the aircraft after the confrontation, according to the U.S. attorney's office in Los Angeles.",2022-09-23,negative,0.8299588561058044,negative,0.5231651663780212,-1,-1,-1.0
U.S. NEWS,woman who called cops on black bird-watcher loses lawsuit against ex-employer,Amy Cooper accused investment firm Franklin Templeton of unfairly firing her and branding her a racist after video of the Central Park encounter went viral.,2022-09-22,negative,0.9113349914550781,negative,0.9267339110374451,-1,-1,-1.0
U.S. NEWS,cleaner was dead in belk bathroom for 4 days before body found: police,"The 63-year-old woman was seen working at the South Carolina store on Thursday. She was found dead Monday after her family reported her missing, authorities said.",2022-09-22,neutral,0.5115631818771362,negative,0.7931786775588989,0,-1,-0.5
U.S. NEWS,reporter gets adorable surprise from her boyfriend while live on tv,"""Who's that behind you?"" an anchor for New York’s PIX11 asked journalist Michelle Ross as she finished up an interview.",2022-09-22,neutral,0.8784782290458679,neutral,0.8915280103683472,0,0,0.0
WORLD NEWS,puerto ricans desperate for water after hurricane fiona’s rampage,More than half a million people remained without water service three days after the storm lashed the U.S. territory.,2022-09-22,negative,0.7733061909675598,negative,0.9213247895240784,-1,-1,-1.0
WORLD NEWS,biden at un to call russian war an affront to body's charter,White House officials say the crux of the president's visit to the U.N. this year will be a full-throated condemnation of Russia and its brutal war.,2022-09-21,negative,0.4766954481601715,neutral,0.6686875820159912,-1,0,-0.5
WORLD NEWS,world cup captains want to wear rainbow armbands in qatar,FIFA has come under pressure from several European soccer federations who want to support a human rights campaign against discrimination at the World Cup.,2022-09-21,neutral,0.9176980257034302,negative,0.9346763491630554,0,-1,-0.5
WORLD NEWS,man sets himself on fire in apparent protest of funeral for japan's abe,"The incident underscores a growing wave of protests against the funeral for Shinzo Abe, who was one of the most divisive leaders in postwar Japanese politics.",2022-09-21,negative,0.7241387367248535,negative,0.8447943925857544,-1,-1,-1.0
WORLD NEWS,fiona threatens to become category 4 storm headed to bermuda,Hurricane Fiona lashed the Turks and Caicos Islands and was forecast to squeeze past Bermuda later this week.,2022-09-21,negative,0.8334161043167114,negative,0.686650812625885,-1,-1,-1.0
TECH,"twitch bans gambling sites after streamer scams folks out of $200,000",One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.,2022-09-21,negative,0.8895814418792725,negative,0.904535710811615,-1,-1,-1.0
U.S. NEWS,virginia thomas agrees to interview with jan. 6 panel,"Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.",2022-09-21,neutral,0.9363100528717041,neutral,0.8746393918991089,0,0,0.0
WORLD NEWS,russian cosmonaut valery polyakov who broke record with 437-day stay in space dies at 80,"Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.",2022-09-20,neutral,0.8363400101661682,neutral,0.9089246988296509,0,0,0.0
WORLD NEWS,4 russian-controlled ukrainian regions schedule votes this week to join russia,The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.,2022-09-20,neutral,0.8945470452308655,neutral,0.46982064843177795,0,0,0.0
WORLD NEWS,fiona barrels toward turks and caicos islands as category 3 hurricane,The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.,2022-09-20,positive,0.9022067189216614,negative,0.9374511241912842,1,-1,0.0
POLITICS,biden says u.s. forces would defend taiwan if china invaded,President issues vow as tensions with China rise.,2022-09-19,neutral,0.8702853918075562,negative,0.5582643151283264,0,-1,-0.5
WORLD NEWS,hurricane fiona bears down on dominican republic after pounding puerto rico,"The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”",2022-09-19,negative,0.8036559820175171,negative,0.9086884260177612,-1,-1,-1.0
U.S. NEWS,one dead after plane crashes at reno air race,"The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.",2022-09-19,negative,0.6950411796569824,negative,0.8382176160812378,-1,-1,-1.0
POLITICS,‘beautiful and sad at the same time’: ukrainian cultural festival takes on a deeper meaning this year,An annual celebration took on a different feel as Russia's invasion dragged into Day 206.,2022-09-19,neutral,0.8249995708465576,neutral,0.8480311632156372,0,0,0.0
U.S. NEWS,family of american held in afghanistan says he was freed by taliban in prisoner swap,"Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.",2022-09-19,neutral,0.6442290544509888,neutral,0.617149829864502,0,0,0.0
WORLD NEWS,world leaders pay respects to queen elizabeth ii,President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.,2022-09-18,neutral,0.860458493232727,neutral,0.8470950126647949,0,0,0.0
POLITICS,biden says queen's death left 'giant hole' for royal family,"U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.",2022-09-18,negative,0.8580389022827148,neutral,0.6900041699409485,-1,0,-0.5
U.S. NEWS,watchdog report finds some census takers who fudged 2020 data didn’t get fired,"Despite entering false information, their work wasn't redone fully and in some cases the census takers received bonuses, the Office of Inspector General reported.",2022-09-18,negative,0.8771387934684753,negative,0.9053675532341003,-1,-1,-1.0
WORLD NEWS,man charged with exposing himself to mourners waiting to view queen elizabeth,The 19-year-old reportedly fled into the Thames in a failed bid to escape police.,2022-09-17,neutral,0.6225227117538452,negative,0.8429741859436035,0,-1,-0.5
WORLD NEWS,who raises alarm on disease in flood-hit areas of pakistan,"The World Health Organization is raising the alarm about a “second disaster” in the wake of the deadly floods in Pakistan this summer, as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases.",2022-09-17,negative,0.8339817523956299,negative,0.6848642230033875,-1,-1,-1.0
POLITICS,bill to help afghans who escaped taliban faces long odds in the senate,Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.,2022-09-16,positive,0.4355012774467468,positive,0.7336549758911133,1,1,1.0
U.S. NEWS,alabama sidesteps compensation for survivor of '63 kkk blast,Sarah Collins Rudolph lost an eye and has pieces of glass inside her body from a Ku Klux Klan bombing that killed her sister and three other Black girls inside an Alabama church 59 years ago.,2022-09-16,negative,0.6948466897010803,negative,0.6907142996788025,-1,-1,-1.0
U.S. NEWS,racism seen as root of water crisis in mississippi capital,"A boil-water advisory has been lifted for Mississippi's capital, and the state will stop handing out free bottled water on Saturday.",2022-09-16,negative,0.7033342719078064,negative,0.8751000165939331,-1,-1,-1.0
POLITICS,mark meadows complies with justice dept. subpoena: report,"The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.",2022-09-15,neutral,0.8475370407104492,negative,0.633280873298645,0,-1,-0.5
U.S. NEWS,chick-fil-a worker saves woman with baby from being carjacked,"Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life.",2022-09-15,neutral,0.4591968059539795,negative,0.5742785334587097,0,-1,-0.5
WORLD NEWS,"bill richardson visits moscow as brittney griner, paul whelan remain jailed","Richardson, the former U.S. ambassador to the United Nations and a frequent emissary in hostage negotiations, held meetings with Russian leaders.",2022-09-14,neutral,0.9219157099723816,neutral,0.826853334903717,0,0,0.0
U.S. NEWS,"possible nationwide rail strike is already impacting travelers, businesses","White House press secretary Karine Jean-Pierre said a rail shutdown is ""not acceptable"" and would harm families as well as businesses.",2022-09-14,negative,0.9634028673171997,negative,0.9458350539207458,-1,-1,-1.0
POLITICS,democrats nominate seth magaziner in key rhode island house race,The state's general treasurer is slated to face former Cranston Mayor Allan Fung (R) in the general election.,2022-09-14,neutral,0.8751288652420044,neutral,0.8659977912902832,0,0,0.0
TECH,tiktok search results riddled with misinformation: report,A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.,2022-09-14,negative,0.6523870229721069,negative,0.9494503140449524,-1,-1,-1.0
U.S. NEWS,u.s. inflation falls for 2nd straight month on lower gas costs,"On a monthly basis, prices rose 0.1%, after a flat reading in July.",2022-09-13,negative,0.8632271885871887,positive,0.9523177742958069,-1,1,0.0
U.S. NEWS,thousands of minnesota nurses launch 3-day strike over pay,They're pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic.,2022-09-13,negative,0.9449189901351929,positive,0.9338028430938721,-1,1,0.0
POLITICS,joe biden urges national unity in speech on renewed ‘cancer moonshot’,"""Cancer does not discriminate red and blue,"" the president said Monday. ""Beating cancer is something we can do together.""",2022-09-13,neutral,0.4304586350917816,neutral,0.8839269280433655,0,0,0.0
POLITICS,sen. tim scott downplays electability concerns over struggling senate gop candidates,"""Who we have on the field is who we’re gonna play,” Scott told ""Fox News Sunday.""",2022-09-12,negative,0.937309205532074,neutral,0.9294466972351074,-1,0,-0.5
POLITICS,electability is on the ballot in key rhode island house primary,Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.,2022-09-12,neutral,0.8361819386482239,neutral,0.7244430780410767,0,0,0.0
POLITICS,"in a nod to jfk, joe biden pushing 'moonshot' to fight cancer",Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.,2022-09-12,neutral,0.8194568157196045,neutral,0.7345136404037476,0,0,0.0
U.S. NEWS,"weather helping, but threat from western fires persists",Firefighters made progress against a huge Northern California wildfire that was still growing and threatening thousands of mountain homes.,2022-09-11,negative,0.7037320137023926,positive,0.7929346561431885,-1,1,0.0
POLITICS,"biden honors 9/11 victims, vows commitment to thwart terror","President Joe Biden has marked the 21st anniversary of the Sept. 11 attacks, taking part in a somber wreath-laying ceremony held at the Pentagon under a steady rain.",2022-09-11,neutral,0.7963231205940247,neutral,0.8376933932304382,0,0,0.0
U.S. NEWS,9/11 attacks still reverberate as u.s. marks 21st anniversary,September 11th remains a point for reflection on the 2001 attacks that reconfigured national security policy and spurred a U.S. “war on terror” worldwide.,2022-09-11,neutral,0.5156260132789612,neutral,0.6382808089256287,0,0,0.0
WORLD NEWS,last reactor at ukraine's zaporizhzhia nuclear plant stopped,"The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.",2022-09-11,neutral,0.8122268319129944,neutral,0.5441344380378723,0,0,0.0
U.S. NEWS,payment processor visa to start categorizing sales at gun stores,"Visa’s adoption is significant as the largest payment network, and will likely add pressure for Mastercard and American Express to adopt the code as well.",2022-09-10,neutral,0.9013487100601196,positive,0.6949107050895691,0,1,0.5
POLITICS,"us, trump team propose names for arbiter in mar-a-lago probe",The Justice Department proposed two retired judges for the role. Trump’s team proposed a retired judge and a lawyer.,2022-09-10,neutral,0.9051013588905334,neutral,0.904418408870697,0,0,0.0
WORLD NEWS,russia says it's pulling back forces from ukraine's kharkiv region,Russia’s Defense Ministry announced that troops will be pulled back in two area where a Ukrainian counter offensive has made significant advances.,2022-09-10,negative,0.9528211355209351,negative,0.9244897365570068,-1,-1,-1.0
WORLD NEWS,ukraine claws back some territory; nuclear plant in peril,Ukrainian forces are claiming new success in their counteroffensive against Russian forces in the east.,2022-09-10,negative,0.9427887201309204,positive,0.9116174578666687,-1,1,0.0
WORLD NEWS,'our hearts are broken': historic front pages mark the queen's death,Both British and international newspapers honor the passing of the U.K'.s longest-reigning monarch.,2022-09-09,neutral,0.894558310508728,neutral,0.8704529404640198,0,0,0.0
WORLD NEWS,un chief asks world for 'massive' help in flood-hit pakistan,"Speaking from Islamabad, Antonio Guterres said countries bearing more responsibility for climate change ""should have faced this challenge.""",2022-09-09,positive,0.8012750148773193,positive,0.6318458914756775,1,1,1.0
POLITICS,"politician's dna connected to las vegas journalist’s murder, police say","Clark County Public Administrator Robert Telles was arrested in the fatal stabbing of Jeff German, who had been investigating his office.",2022-09-08,neutral,0.5305532813072205,negative,0.8096985220909119,0,-1,-0.5
POLITICS,michigan supreme court revives abortion rights amendment for november's ballot,"Opponents of the measure claimed typos made the qualifying petitions incomprehensible, but the state's highest court rejected that argument.",2022-09-08,neutral,0.7235454320907593,negative,0.7877083420753479,0,-1,-0.5
POLITICS,portland residents with disabilities sue over city's blocked sidewalks,"The lawsuit says allowing homeless people’s tents to block city sidewalks makes it difficult for people using wheelchairs, walkers or canes to use them.",2022-09-08,negative,0.9418702125549316,negative,0.8962477445602417,-1,-1,-1.0
WORLD NEWS,at least 32 dead in fire at karaoke parlor in south vietnam,The fire in Thuan An city began late Tuesday and trapped both workers and customers inside the multi-story venue.,2022-09-08,negative,0.9048901796340942,negative,0.9331278204917908,-1,-1,-1.0
